26,AMD Ryzen 5 5600X,CPU,229000.000000,45,6코어 12스레드 고효율 프로세서,2024-02-10
27,NVIDIA GeForce RTX 3080,GPU,1199000.000000,18,4K 게이밍 이전세대 플래그십,2024-02-11
28,Corsair Dominator Platinum 64GB,RAM,649000.000000,12,DDR4-3200 최고급 메모리,2024-02-12
29,Intel Core i3-12100,CPU,149000.000000,60,4코어 8스레드 보급형 프로세서,2024-02-13
30,AMD Ryzen 3 5300G,CPU,139000.000000,55,4코어 8스레드 APU 내장그래픽,2024-02-14
31,NVIDIA GeForce RTX 3070 Ti,GPU,899000.000000,25,1440p 고성능 게이밍 그래픽카드,2024-02-15
32,Team T-Force Delta 32GB,RAM,179000.000000,40,DDR4-3200 RGB 게이밍 메모리,2024-02-16
33,Intel Core i9-11900K,CPU,499000.000000,15,8코어 16스레드 11세대 프로세서,2024-02-17
34,AMD Ryzen 9 5900X,CPU,499000.000000,20,12코어 24스레드 고성능 프로세서,2024-02-18
35,NVIDIA GeForce RTX 3070,GPU,799000.000000,30,1440p 게이밍 최적화 그래픽카드,2024-02-19
36,G.Skill Ripjaws V 16GB,RAM,79000.000000,65,DDR4-3200 기본형 메모리,2024-02-20
37,Intel Core i7-11700K,CPU,399000.000000,28,8코어 16스레드 11세대 프로세서,2024-02-21
38,AMD Ryzen 7 5700X,CPU,299000.000000,35,8코어 16스레드 65W TDP,2024-02-22
39,NVIDIA GeForce RTX 3060 Ti,GPU,649000.000000,38,1080p 고성능 게이밍 그래픽카드,2024-02-23
40,Crucial DDR5 16GB,RAM,139000.000000,50,DDR5-4800 기본형 메모리,2024-02-24
41,Intel Core i5-11600K,CPU,299000.000000,40,6코어 12스레드 11세대 프로세서,2024-02-25
42,AMD Ryzen 5 5500,CPU,179000.000000,48,6코어 12스레드 보급형 프로세서,2024-02-26
43,NVIDIA GeForce RTX 3060,GPU,549000.000000,45,1080p 메인스트림 게이밍 그래픽카드,2024-02-27
44,Patriot Viper Steel 32GB,RAM,169000.000000,35,DDR4-3200 고성능 메모리,2024-02-28
45,Intel Core i3-11100,CPU,139000.000000,58,4코어 8스레드 11세대 프로세서,2024-03-01
46,AMD Ryzen 3 5300X,CPU,159000.000000,52,4코어 8스레드 엔트리 프로세서,2024-03-02
47,NVIDIA GeForce GTX 1660 Ti,GPU,449000.000000,35,1080p 보급형 게이밍 그래픽카드,2024-03-03
48,ADATA XPG Spectrix D60G 16GB,RAM,99000.000000,60,DDR4-3200 RGB 게이밍 메모리,2024-03-04
49,Intel Core i9-10900K,CPU,449000.000000,18,10코어 20스레드 10세대 프로세서,2024-03-05
50,AMD Ryzen 9 3950X,CPU,649000.000000,12,16코어 32스레드 3세대 프로세서,2024-03-06
51,NVIDIA GeForce GTX 1660 Super,GPU,399000.000000,40,1080p 보급형 게이밍 그래픽카드,2024-03-07
52,Corsair Vengeance RGB Pro 32GB,RAM,199000.000000,32,DDR4-3200 RGB 게이밍 메모리,2024-03-08
53,Intel Core i7-10700K,CPU,349000.000000,25,8코어 16스레드 10세대 프로세서,2024-03-09
54,AMD Ryzen 7 3700X,CPU,329000.000000,28,8코어 16스레드 3세대 프로세서,2024-03-10
55,NVIDIA GeForce GTX 1650 Super,GPU,299000.000000,48,1080p 엔트리 게이밍 그래픽카드,2024-03-11
56,G.Skill Trident Z Neo 32GB,RAM,219000.000000,30,DDR4-3600 AMD 최적화 메모리,2024-03-12
57,Intel Core i5-10600K,CPU,269000.000000,35,6코어 12스레드 10세대 프로세서,2024-03-13
58,AMD Ryzen 5 3600X,CPU,249000.000000,40,6코어 12스레드 3세대 프로세서,2024-03-14
59,NVIDIA GeForce GTX 1650,GPU,249000.000000,55,1080p 엔트리 게이밍 그래픽카드,2024-03-15
60,Kingston Fury Renegade 64GB,RAM,499000.000000,15,DDR4-3600 최고급 게이밍 메모리,2024-03-16
61,Intel Core i3-10100,CPU,119000.000000,65,4코어 8스레드 10세대 프로세서,2024-03-17
62,AMD Ryzen 3 3300X,CPU,149000.000000,50,4코어 8스레드 3세대 프로세서,2024-03-18
63,AMD Radeon RX 7900 XTX,GPU,1899000.000000,10,최고급 4K 게이밍 AMD 그래픽카드,2024-03-19
64,Team T-Force Vulcan Z 16GB,RAM,69000.000000,70,DDR4-3200 가성비 메모리,2024-03-20
65,Intel Core i9-9900K,CPU,399000.000000,20,8코어 16스레드 9세대 프로세서,2024-03-21
66,AMD Ryzen 7 2700X,CPU,199000.000000,35,8코어 16스레드 2세대 프로세서,2024-03-22
67,AMD Radeon RX 7900 XT,GPU,1499000.000000,15,프리미엄 4K 게이밍 AMD 그래픽카드,2024-03-23
68,Mushkin Redline 32GB,RAM,189000.000000,25,DDR4-3200 고성능 메모리,2024-03-24
69,Intel Core i7-9700K,CPU,329000.000000,28,8코어 8스레드 9세대 프로세서,2024-03-25
70,AMD Ryzen 5 2600X,CPU,159000.000000,45,6코어 12스레드 2세대 프로세서,2024-03-26
71,AMD Radeon RX 7800 XT,GPU,1199000.000000,20,1440p 고성능 게이밍 AMD 그래픽카드,2024-03-27
72,PNY XLR8 Gaming 16GB,RAM,85000.000000,58,DDR4-3200 게이밍 메모리,2024-03-28
73,Intel Core i5-9600K,CPU,249000.000000,38,6코어 6스레드 9세대 프로세서,2024-03-29
74,AMD Ryzen 3 2200G,CPU,99000.000000,60,4코어 4스레드 APU 내장그래픽,2024-03-30
75,AMD Radeon RX 7700 XT,GPU,999000.000000,25,1440p 메인스트림 게이밍 AMD 그래픽카드,2024-03-31
76,Crucial Ballistix MAX 64GB,RAM,459000.000000,12,DDR4-4000 오버클럭 메모리,2024-04-01
77,Intel Core i3-9100,CPU,129000.000000,55,4코어 4스레드 9세대 프로세서,2024-04-02
78,AMD Ryzen 1800X,CPU,179000.000000,30,8코어 16스레드 1세대 프로세서,2024-04-03
79,AMD Radeon RX 6950 XT,GPU,849000.000000,18,1440p 고성능 게이밍 이전세대,2024-04-04
80,G.Skill Flare X 32GB,RAM,209000.000000,28,DDR4-3200 AMD 최적화 메모리,2024-04-05
81,Intel Core i7-8700K,CPU,279000.000000,25,6코어 12스레드 8세대 프로세서,2024-04-06
82,AMD Ryzen 5 1600X,CPU,139000.000000,40,6코어 12스레드 1세대 프로세서,2024-04-07
83,AMD Radeon RX 6800 XT,GPU,699000.000000,22,1440p 게이밍 최적화 이전세대,2024-04-08
84,Corsair Vengeance LPX 64GB,RAM,399000.000000,18,DDR4-3200 대용량 메모리,2024-04-09
85,Intel Core i5-8600K,CPU,229000.000000,32,6코어 6스레드 8세대 프로세서,2024-04-10
86,AMD Ryzen 3 1300X,CPU,119000.000000,48,4코어 4스레드 1세대 프로세서,2024-04-11
87,AMD Radeon RX 6700 XT,GPU,599000.000000,28,1080p 고성능 게이밍 이전세대,2024-04-12
88,HyperX Fury 8GB,RAM,39000.000000,80,DDR4-2666 기본형 메모리,2024-04-13
89,Intel Core i3-8100,CPU,149000.000000,50,4코어 4스레드 8세대 프로세서,2024-04-14
90,AMD FX-8350,CPU,89000.000000,25,8코어 AM3+ 레거시 프로세서,2024-04-15
91,AMD Radeon RX 6600 XT,GPU,499000.000000,35,1080p 메인스트림 게이밍 이전세대,2024-04-16
92,Team Elite 8GB,RAM,29000.000000,90,DDR4-2400 기본형 메모리,2024-04-17
93,Intel Pentium Gold G6400,CPU,79000.000000,65,2코어 4스레드 보급형 프로세서,2024-04-18
94,AMD Athlon 3000G,CPU,69000.000000,70,2코어 4스레드 APU 내장그래픽,2024-04-19
95,AMD Radeon RX 6500 XT,GPU,349000.000000,42,1080p 엔트리 게이밍 이전세대,2024-04-20
96,Patriot Signature 4GB,RAM,19000.000000,100,DDR4-2133 기본형 메모리,2024-04-21
97,Intel Celeron G5905,CPU,59000.000000,75,2코어 2스레드 보급형 프로세서,2024-04-22
98,AMD A10-9700,CPU,79000.000000,40,4코어 APU 내장그래픽 레거시,2024-04-23
99,Integrated Graphics,GPU,0.000000,999,CPU 내장 그래픽 솔루션,2024-04-24
100,Generic DDR3 2GB,RAM,15000.000000,120,DDR3-1333 레거시 메모리,2024-04-25
103,독거미 키보드 Aula F87,Keyboard,87000.000000,32,내 키보드지롱,2025-06-17
